annealing_type,delta,temperature,restarts,min_edge_cut,max_migrations,max_swaps
BOLTZMANN,0.99,10,100,5341,3614,4584610
BOLTZMANN,0.99,10,250,5224,3622,4583979
BOLTZMANN,0.99,4,100,1365,3470,4426945
BOLTZMANN,0.99,4,250,1578,3479,4424601
BOLTZMANN,0.99,2,100,1046,3471,4393461
BOLTZMANN,0.99,2,250,1322,3419,4389828
BOLTZMANN,0.95,10,100,5179,3614,4584882
BOLTZMANN,0.95,10,250,5386,3646,4587118
BOLTZMANN,0.95,4,100,1459,3491,4425980
BOLTZMANN,0.95,4,250,1332,3494,4426059
BOLTZMANN,0.95,2,100,1168,3448,4393001
BOLTZMANN,0.95,2,250,1380,3469,4386818
BOLTZMANN,0.9,10,100,5429,3588,4585998
BOLTZMANN,0.9,10,250,5200,3610,4584281
BOLTZMANN,0.9,4,100,1486,3503,4424912
BOLTZMANN,0.9,4,250,1363,3487,4427312
BOLTZMANN,0.9,2,100,1145,3426,4394716
BOLTZMANN,0.9,2,250,1292,3456,4388341
BOLTZMANN,0.8,10,100,5379,3619,4586224
BOLTZMANN,0.8,10,250,5284,3657,4584662
BOLTZMANN,0.8,4,100,1504,3503,4425079
BOLTZMANN,0.8,4,250,1282,3512,4428425
BOLTZMANN,0.8,2,100,1111,3445,4393786
BOLTZMANN,0.8,2,250,1204,3451,4391787
