annealing_type,delta,temperature,restarts,min_edge_cut,max_migrations,max_swaps
EXPONENTIAL,0.99,10,100,2743,3472,4719629
EXPONENTIAL,0.99,10,250,2753,3461,4719605
EXPONENTIAL,0.99,4,100,2496,3413,4717767
EXPONENTIAL,0.99,4,250,2571,3349,4717732
EXPONENTIAL,0.99,2,100,2536,3345,4716040
EXPONENTIAL,0.99,2,250,2469,3359,4715946
EXPONENTIAL,0.95,10,100,2708,3474,4719604
EXPONENTIAL,0.95,10,250,2754,3425,4719622
EXPONENTIAL,0.95,4,100,2502,3414,4717714
EXPONENTIAL,0.95,4,250,2527,3401,4717592
EXPONENTIAL,0.95,2,100,2476,3396,4715987
EXPONENTIAL,0.95,2,250,2563,3391,4715795
EXPONENTIAL,0.9,10,100,2805,3469,4719593
EXPONENTIAL,0.9,10,250,2706,3490,4719615
EXPONENTIAL,0.9,4,100,2541,3417,4717688
EXPONENTIAL,0.9,4,250,2579,3440,4717595
EXPONENTIAL,0.9,2,100,2502,3385,4715720
EXPONENTIAL,0.9,2,250,2409,3375,4715965
EXPONENTIAL,0.8,10,100,2738,3449,4719634
EXPONENTIAL,0.8,10,250,2696,3449,4719655
EXPONENTIAL,0.8,4,100,2608,3385,4717667
EXPONENTIAL,0.8,4,250,2537,3403,4717710
EXPONENTIAL,0.8,2,100,2489,3344,4715891
EXPONENTIAL,0.8,2,250,2387,3369,4716229
