annealing_type,delta,temperature,restarts,min_edge_cut,max_migrations,max_swaps
LINEAR,0.003,10,100,3271,3425,2360000
LINEAR,0.003,10,250,3271,3425,2360000
LINEAR,0.003,4,100,3088,3444,2359991
LINEAR,0.003,4,250,3033,3429,2359987
LINEAR,0.003,2,100,2959,3383,2359150
LINEAR,0.003,2,250,2903,3377,2358713
LINEAR,0.03,10,100,3271,3425,2360000
LINEAR,0.03,10,250,3136,3430,2359985
LINEAR,0.03,4,100,2935,3450,2359389
LINEAR,0.03,4,250,2331,3354,970469
LINEAR,0.03,2,100,1902,3345,830576
LINEAR,0.03,2,250,2113,3320,343191
LINEAR,0.1,10,100,2536,3433,2140359
LINEAR,0.1,10,250,2331,3405,867482
LINEAR,0.1,4,100,1687,3408,764545
LINEAR,0.1,4,250,2218,3372,315910
LINEAR,0.1,2,100,1715,3365,269986
LINEAR,0.1,2,250,1978,3326,122624
